predictor,outcome,spearman_rho,p_value,n
severity,mean_fault_score,-0.11190211345939934,0.5560467850001412,30
severity,max_fault_score,-0.0020022246941045607,0.9916218614160739,30
severity,fault_window_recall,0.09654377847490166,0.6117962752341773,30
duration_s,mean_fault_score,0.15506117908787542,0.4132527884436294,30
duration_s,max_fault_score,0.2,0.28930352872544013,30
duration_s,fault_window_recall,0.13945212446374686,0.46236506349638373,30
