split_seed,train_score_quantile,threshold,precision,recall,f1,clean_test_flag_rate
20260400,0.9,1.7749758958816528,0.03576982892690513,0.6571428571428571,0.06784660766961652,0.31568228105906315
20260400,0.93,2.0475549697875977,0.006550218340611353,0.08571428571428572,0.012170385395537525,0.23167006109979632
20260400,0.95,2.2041726112365723,0.0029411764705882353,0.02857142857142857,0.005333333333333333,0.17260692464358451
20260400,0.97,2.3685436248779297,0.0,0.0,0.0,0.1079429735234216
20260400,0.98,2.449185371398926,0.0,0.0,0.0,0.08655804480651731
20260400,0.99,2.7378621101379395,0.0,0.0,0.0,0.04480651731160896
20260400,0.995,3.0449819564819336,0.0,0.0,0.0,0.023421588594704685
20260401,0.9,1.7299318313598633,0.007692307692307693,0.07692307692307693,0.013986013986013986,0.19724770642201836
20260401,0.93,1.878157138824463,0.01,0.07692307692307693,0.017699115044247787,0.15137614678899083
20260401,0.95,1.961889624595642,0.008888888888888889,0.05128205128205128,0.015151515151515152,0.11365953109072376
20260401,0.97,2.1048550605773926,0.015625,0.05128205128205128,0.023952095808383235,0.06422018348623854
20260401,0.98,2.2441246509552,0.0,0.0,0.0,0.0417940876656473
20260401,0.99,2.5131402015686035,0.0,0.0,0.0,0.029561671763506627
20260401,0.995,2.7760326862335205,0.0,0.0,0.0,0.0290519877675841
20260402,0.9,1.7575726509094238,0.0,0.0,0.0,0.23375959079283887
20260402,0.93,1.9048787355422974,0.0,0.0,0.0,0.1846547314578005
20260402,0.95,2.0270729064941406,0.0,0.0,0.0,0.140153452685422
20260402,0.97,2.155503273010254,0.0,0.0,0.0,0.08951406649616368
20260402,0.98,2.3030388355255127,0.0,0.0,0.0,0.06240409207161125
20260402,0.99,2.457019329071045,0.0,0.0,0.0,0.049616368286445015
20260402,0.995,2.5698657035827637,0.0,0.0,0.0,0.043989769820971865
20260403,0.9,1.6648962497711182,0.0,0.0,0.0,0.129923273657289
20260403,0.93,1.7636075019836426,0.0,0.0,0.0,0.11304347826086956
20260403,0.95,1.8464680910110474,0.0,0.0,0.0,0.09360613810741689
20260403,0.97,1.9573718309402466,0.0,0.0,0.0,0.07263427109974424
20260403,0.98,2.0544137954711914,0.0,0.0,0.0,0.056265984654731455
20260403,0.99,2.186347007751465,0.0,0.0,0.0,0.04552429667519182
20260403,0.995,2.5645551681518555,0.0,0.0,0.0,0.03273657289002557
20260404,0.9,1.5395246744155884,0.044444444444444446,0.1951219512195122,0.07239819004524888,0.08748728382502544
20260404,0.93,1.6243704557418823,0.045454545454545456,0.14634146341463414,0.06936416184971098,0.06408952187182096
20260404,0.95,1.7010058164596558,0.0,0.0,0.0,0.05340793489318413
20260404,0.97,1.83367121219635,0.0,0.0,0.0,0.038657171922685654
20260404,0.98,1.9107260704040527,0.0,0.0,0.0,0.03153611393692777
20260404,0.99,2.1342296600341797,0.0,0.0,0.0,0.024415055951169887
20260404,0.995,2.411728858947754,0.0,0.0,0.0,0.023906408952187184
20260405,0.9,1.723510503768921,0.02112676056338028,0.2222222222222222,0.03858520900321544,0.13837730214036834
20260405,0.93,1.8251163959503174,0.005025125628140704,0.037037037037037035,0.008849557522123894,0.09855649576903933
20260405,0.95,1.9099348783493042,0.0,0.0,0.0,0.06819313091090094
20260405,0.97,2.018650770187378,0.0,0.0,0.0,0.0467894474863116
20260405,0.98,2.1351306438446045,0.0,0.0,0.0,0.03285216525634644
20260405,0.99,2.4070403575897217,0.0,0.0,0.0,0.023892483822797413
20260405,0.995,2.6831514835357666,0.0,0.0,0.0,0.022896963663514187
20260406,0.9,1.5598020553588867,0.0,0.0,0.0,0.09278870398386284
20260406,0.93,1.6426650285720825,0.0,0.0,0.0,0.07362581946545638
20260406,0.95,1.7042317390441895,0.0,0.0,0.0,0.06656580937972768
20260406,0.97,1.77683687210083,0.0,0.0,0.0,0.05849722642460918
20260406,0.98,1.8763145208358765,0.0,0.0,0.0,0.04891578416540595
20260406,0.99,2.002262830734253,0.0,0.0,0.0,0.04336863338376198
20260406,0.995,2.298811435699463,0.0,0.0,0.0,0.03177004538577912
20260407,0.9,1.6112346649169922,0.009174311926605505,0.044444444444444446,0.015209125475285171,0.10931174089068826
20260407,0.93,1.6764955520629883,0.0,0.0,0.0,0.10121457489878542
20260407,0.95,1.7326611280441284,0.0,0.0,0.0,0.0931174089068826
20260407,0.97,1.851537823677063,0.0,0.0,0.0,0.07135627530364372
20260407,0.98,1.9286608695983887,0.0,0.0,0.0,0.06477732793522267
20260407,0.99,2.0846378803253174,0.0,0.0,0.0,0.053643724696356275
20260407,0.995,2.1928224563598633,0.0,0.0,0.0,0.0465587044534413
20260408,0.9,1.7109324932098389,0.012953367875647668,0.29411764705882354,0.02481389578163772,0.39056893900563816
20260408,0.93,2.0617294311523438,0.008174386920980926,0.17647058823529413,0.015625,0.3731419784725782
20260408,0.95,2.4710605144500732,0.0,0.0,0.0,0.2901076371091748
20260408,0.97,2.706397533416748,0.0,0.0,0.0,0.21219887237314197
20260408,0.98,2.8032329082489014,0.0,0.0,0.0,0.17119425935417734
20260408,0.99,2.9706578254699707,0.0,0.0,0.0,0.08764736032803691
20260408,0.995,3.1485531330108643,0.0,0.0,0.0,0.058944131214761664
20260409,0.9,1.6809200048446655,0.0,0.0,0.0,0.15509376583882412
20260409,0.93,1.7802059650421143,0.0,0.0,0.0,0.1373542828180436
20260409,0.95,1.8443506956100464,0.0,0.0,0.0,0.12164216928535225
20260409,0.97,1.9202971458435059,0.0,0.0,0.0,0.10593005575266093
20260409,0.98,1.9828026294708252,0.0,0.0,0.0,0.09224531170805879
20260409,0.99,2.104937791824341,0.0,0.0,0.0,0.07957425240750127
20260409,0.995,2.204042673110962,0.0,0.0,0.0,0.06842372022301065
