split_seed,fault_id,robot_id,duration_s,severity,n_scored_fault_windows,event_detected,flagged_fault_windows,fault_window_recall,mean_fault_score,max_fault_score,threshold,detection_latency_s,score_margin_max,score_margin_mean
20260400,accelerated_battery_degradation_seed20260400_event00,AR-004,871,0.8062427282628191,15,False,0,0.0,1.8385329246520996,2.010589122772217,2.3685436248779297,,-0.3579545021057129,-0.5300107002258301
20260400,accelerated_battery_degradation_seed20260400_event01,AR-002,785,0.7718947551722402,14,False,0,0.0,1.927216649055481,2.288655996322632,2.3685436248779297,,-0.07988762855529785,-0.44132697582244873
20260400,accelerated_battery_degradation_seed20260400_event02,AR-001,307,0.6915278945276391,6,False,0,0.0,0.5661149621009827,0.6176110506057739,2.3685436248779297,,-1.7509325742721558,-1.802428662776947
20260401,accelerated_battery_degradation_seed20260401_event00,AR-003,713,0.7765475863690303,13,False,0,0.0,0.8680983185768127,1.031055212020874,2.1048550605773926,,-1.0737998485565186,-1.2367567420005798
20260401,accelerated_battery_degradation_seed20260401_event01,AR-003,598,0.9882813318743149,11,False,0,0.0,0.9840080142021179,1.1984621286392212,2.1048550605773926,,-0.9063929319381714,-1.1208470463752747
20260401,accelerated_battery_degradation_seed20260401_event02,AR-002,796,0.8233063238340269,15,True,2,0.13333333333333333,1.1969561576843262,2.1583733558654785,2.1048550605773926,11.0,0.05351829528808594,-0.9078989028930664
20260402,accelerated_battery_degradation_seed20260402_event00,AR-001,749,0.7582387182082927,14,False,0,0.0,1.037858486175537,1.1376793384552002,2.155503273010254,,-1.0178239345550537,-1.1176447868347168
20260402,accelerated_battery_degradation_seed20260402_event01,AR-001,898,0.9556835702836852,16,False,0,0.0,0.7850767374038696,0.9303058385848999,2.155503273010254,,-1.225197434425354,-1.3704265356063843
20260402,accelerated_battery_degradation_seed20260402_event02,AR-005,462,0.8551711048048349,9,False,0,0.0,1.331197738647461,1.4140760898590088,2.155503273010254,,-0.7414271831512451,-0.824305534362793
20260403,accelerated_battery_degradation_seed20260403_event00,AR-005,322,0.833319160271779,7,False,0,0.0,1.3068894147872925,1.4003111124038696,1.9573718309402466,,-0.557060718536377,-0.6504824161529541
20260403,accelerated_battery_degradation_seed20260403_event01,AR-004,655,0.6476982978254044,12,False,0,0.0,1.345837116241455,1.4863635301589966,1.9573718309402466,,-0.47100830078125,-0.6115347146987915
20260403,accelerated_battery_degradation_seed20260403_event02,AR-002,662,0.7221484091994633,12,False,0,0.0,1.0248782634735107,1.266687273979187,1.9573718309402466,,-0.6906845569610596,-0.9324935674667358
20260404,accelerated_battery_degradation_seed20260404_event00,AR-002,865,0.6505459330231528,16,False,0,0.0,1.4470528364181519,1.6899957656860352,1.83367121219635,,-0.14367544651031494,-0.38661837577819824
20260404,accelerated_battery_degradation_seed20260404_event01,AR-002,548,0.8368622254966249,10,False,0,0.0,0.8858884572982788,1.2828166484832764,1.83367121219635,,-0.5508545637130737,-0.9477827548980713
20260404,accelerated_battery_degradation_seed20260404_event02,AR-001,820,0.6238208776643964,15,False,0,0.0,1.1574536561965942,1.239290714263916,1.83367121219635,,-0.5943804979324341,-0.6762175559997559
20260405,accelerated_battery_degradation_seed20260405_event00,AR-002,350,0.9509377263556515,7,False,0,0.0,1.5535951852798462,1.6248246431350708,2.018650770187378,,-0.39382612705230713,-0.46505558490753174
20260405,accelerated_battery_degradation_seed20260405_event01,AR-005,373,0.7601938667112129,7,False,0,0.0,1.7613364458084106,1.8763118982315063,2.018650770187378,,-0.14233887195587158,-0.2573143243789673
20260405,accelerated_battery_degradation_seed20260405_event02,AR-004,726,0.7100718105653523,13,False,0,0.0,1.0189471244812012,1.2939952611923218,2.018650770187378,,-0.7246555089950562,-0.9997036457061768
20260406,accelerated_battery_degradation_seed20260406_event00,AR-004,453,0.8224066351556907,8,False,0,0.0,1.1040503978729248,1.2645647525787354,1.77683687210083,,-0.5122721195220947,-0.6727864742279053
20260406,accelerated_battery_degradation_seed20260406_event01,AR-005,303,0.8481289214538617,6,False,0,0.0,0.5771788358688354,0.6820685863494873,1.77683687210083,,-1.0947682857513428,-1.1996580362319946
20260406,accelerated_battery_degradation_seed20260406_event02,AR-004,647,0.8601618698382407,12,False,0,0.0,0.6321783661842346,0.6872090697288513,1.77683687210083,,-1.0896278023719788,-1.1446585059165955
20260407,accelerated_battery_degradation_seed20260407_event00,AR-004,825,0.7317709815379034,15,False,0,0.0,0.8064334988594055,1.1339850425720215,1.851537823677063,,-0.7175527811050415,-1.0451043248176575
20260407,accelerated_battery_degradation_seed20260407_event01,AR-002,840,0.8035951525486109,15,False,0,0.0,1.2502375841140747,1.4018923044204712,1.851537823677063,,-0.4496455192565918,-0.6013002395629883
20260407,accelerated_battery_degradation_seed20260407_event02,AR-004,803,0.7897757984400217,15,False,0,0.0,1.336079716682434,1.6170817613601685,1.851537823677063,,-0.23445606231689453,-0.5154581069946289
20260408,accelerated_battery_degradation_seed20260408_event00,AR-005,858,0.7609338029144747,15,False,0,0.0,1.9297828674316406,2.341076612472534,2.706397533416748,,-0.36532092094421387,-0.7766146659851074
20260408,accelerated_battery_degradation_seed20260408_event01,AR-001,407,0.6579040547198814,8,False,0,0.0,1.1388206481933594,1.1673375368118286,2.706397533416748,,-1.5390599966049194,-1.5675768852233887
20260408,accelerated_battery_degradation_seed20260408_event02,AR-005,572,0.7664518293630622,11,False,0,0.0,1.022070050239563,1.2691606283187866,2.706397533416748,,-1.4372369050979614,-1.684327483177185
20260409,accelerated_battery_degradation_seed20260409_event00,AR-003,275,0.9262413596230191,5,False,0,0.0,1.413291335105896,1.6305475234985352,1.9202971458435059,,-0.2897496223449707,-0.5070058107376099
20260409,accelerated_battery_degradation_seed20260409_event01,AR-003,675,0.9033765255470395,13,False,0,0.0,1.0880101919174194,1.3462731838226318,1.9202971458435059,,-0.574023962020874,-0.8322869539260864
20260409,accelerated_battery_degradation_seed20260409_event02,AR-005,396,0.6821956376858823,7,False,0,0.0,1.1135417222976685,1.3393429517745972,1.9202971458435059,,-0.5809541940689087,-0.8067554235458374
