split_seed,method,scope,precision,recall,f1,auroc,n,positives
20260400,Isolation Forest,all_faults,0.217391304347826,0.3915662650602409,0.2795698924731182,0.8020596261500793,2400,166
20260400,Isolation Forest,motor_stall,0.0602409638554216,0.5172413793103449,0.1079136690647482,0.8899144876979593,2263,29
20260400,Isolation Forest,gradual_sensor_drift,0.040983606557377,0.2777777777777778,0.0714285714285714,0.7577215756490598,2270,36
20260400,Isolation Forest,accelerated_battery_degradation,0.025,0.1714285714285714,0.0436363636363636,0.7578462719017778,2269,35
20260400,Isolation Forest,gps_jitter_spoofing,0.048780487804878,0.3428571428571428,0.0854092526690391,0.7555697659547257,2269,35
20260400,Isolation Forest,intermittent_software_hang,0.0859375,0.7096774193548387,0.1533101045296167,0.8737690241718891,2265,31
20260400,One-Class SVM,all_faults,0.4005305039787798,0.9096385542168676,0.5561694290976059,0.963725987207559,2400,166
20260400,One-Class SVM,motor_stall,0.1137254901960784,1.0,0.204225352112676,0.997051832185966,2263,29
20260400,One-Class SVM,gradual_sensor_drift,0.1374045801526717,1.0,0.2416107382550335,0.9971028548691931,2270,36
20260400,One-Class SVM,accelerated_battery_degradation,0.0923694779116465,0.6571428571428571,0.1619718309859155,0.8913543931449035,2269,35
20260400,One-Class SVM,gps_jitter_spoofing,0.1240310077519379,0.9142857142857144,0.2184300341296928,0.9449673871339046,2269,35
20260400,One-Class SVM,intermittent_software_hang,0.1206225680933852,1.0,0.2152777777777778,0.9966788921939528,2265,31
20260400,LOF,all_faults,0.4520123839009288,0.8795180722891566,0.5971370143149284,0.9651362837203784,2400,166
20260400,LOF,motor_stall,0.1407766990291262,1.0,0.2468085106382978,0.997746426697126,2263,29
20260400,LOF,gradual_sensor_drift,0.1690140845070422,1.0,0.2891566265060241,0.9982094897045658,2270,36
20260400,LOF,accelerated_battery_degradation,0.0923076923076923,0.5142857142857142,0.1565217391304348,0.9010998848957666,2269,35
20260400,LOF,gps_jitter_spoofing,0.1531100478468899,0.9142857142857144,0.2622950819672131,0.9407596879396342,2269,35
20260400,LOF,intermittent_software_hang,0.1490384615384615,1.0,0.2594142259414226,0.9960435498310568,2265,31
20260400,LSTM Autoencoder,all_faults,0.3291139240506329,0.6666666666666666,0.4406779661016949,0.8676856493811688,2120,156
20260400,LSTM Autoencoder,motor_stall,0.1203319502074688,1.0,0.2148148148148148,0.9886227965447012,1993,29
20260400,LSTM Autoencoder,gradual_sensor_drift,0.1275720164609053,0.96875,0.2254545454545454,0.9845659368635438,1996,32
20260400,LSTM Autoencoder,accelerated_battery_degradation,0.0,0.0,0.0,0.615173116089613,1999,35
20260400,LSTM Autoencoder,gps_jitter_spoofing,0.0862068965517241,0.6896551724137931,0.1532567049808429,0.895164688531498,1993,29
