profile,training_seed,delta_mean_agent_return_ppo_minus_random,delta_final_assignment_distance_ppo_minus_random,delta_collision_pairs_per_cycle_ppo_minus_random,delta_duplicate_nearest_landmarks_ppo_minus_random,delta_nearest_landmark_switch_rate_ppo_minus_random
standard,7,1.6106683433496194,-0.1955776599545057,0.0079999999999999,0.0999999999999998,0.004
standard,17,4.814232469900158,-0.2550129709540014,-0.0319999999999999,-0.172,0.0026666666666666
standard,27,3.288121538248543,-0.2800765227154432,0.068,-0.208,0.0106666666666666
standard,37,-0.6566148751354461,-0.0192516828594031,-0.004,-0.0679999999999999,-0.016
standard,47,3.790913911382368,-0.4344603006487626,0.0999999999999999,-0.2720000000000001,0.0106666666666666
