scope,method,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,n_mean,positives_mean
accelerated_battery_degradation,Isolation Forest,0.0313174231822973,0.03007595847894,0.1102171141005778,0.1346637870565204,0.0456593640915632,0.0474253851147557,0.7633105730371077,0.1086712858173653,2273.5,34.2
accelerated_battery_degradation,LOF,0.1688615413413204,0.045887865020909,0.9488644688644688,0.152907889520214,0.2851376346359917,0.0701072581289641,0.9816185359027882,0.0283510418005603,2273.5,34.2
accelerated_battery_degradation,LSTM Autoencoder,0.0015625,0.004941058844013,0.0051282051282051,0.0162168085136839,0.0023952095808383,0.0075743177489062,0.5662776241625542,0.1284070189933877,2003.6,34.2
accelerated_battery_degradation,One-Class SVM,0.1551167274098453,0.0496418278678098,0.9631501831501832,0.10782155658795,0.2648365792635254,0.0760447417457511,0.9788840966100082,0.030946958644387,2273.5,34.2
all_faults,Isolation Forest,0.3727213096351545,0.1289016076362745,0.3942983409918014,0.0956746459694762,0.3649034979899733,0.0738737411259895,0.8435736361579655,0.0443650880410915,2400.0,160.7
all_faults,LOF,0.4924655353234796,0.0604512597889118,0.9700354706373098,0.0327481367232966,0.6513274686352053,0.0547851119117546,0.9847514809804154,0.0078362455021254,2400.0,160.7
all_faults,LSTM Autoencoder,0.382199290581023,0.0820547059802815,0.6235102673933339,0.0690881834999364,0.465716662858729,0.0627966204014369,0.8475445275069836,0.0370807555756348,2120.0,150.6
all_faults,One-Class SVM,0.4576611607556278,0.0800981309569249,0.9663762367854284,0.0221205643673341,0.6173268830673682,0.0752866792155857,0.9814920118643125,0.0068760200025703,2400.0,160.7
gps_jitter_spoofing,Isolation Forest,0.0418788456645944,0.0360397251870939,0.1969969278033794,0.2292324147093152,0.0636239789105796,0.0524195277425597,0.7529926120027428,0.0849933402593664,2271.6,32.3
gps_jitter_spoofing,LOF,0.1587307547936469,0.0369167715854224,0.9188726745178356,0.0291660284081863,0.269072259165513,0.0526107453949899,0.9563040674800516,0.0167788061981866,2271.6,32.3
gps_jitter_spoofing,LSTM Autoencoder,0.0938797312278434,0.0412482576467474,0.5561241946067879,0.1918949589643789,0.15681269246228,0.0620594274424612,0.8572233127931927,0.0275738758432074,1998.9,29.5
gps_jitter_spoofing,One-Class SVM,0.1377840905337727,0.0385711003531758,0.8882710360129714,0.0457670281020673,0.2363737899709967,0.0558437789170429,0.946900286731332,0.0104407266273978,2271.6,32.3
gradual_sensor_drift,Isolation Forest,0.0845157330812655,0.0936033030481268,0.3416154401154401,0.2936114066515367,0.1314932313978064,0.1396403420934304,0.8670657153912211,0.064329384978866,2271.8,32.5
gradual_sensor_drift,LOF,0.1671315063719699,0.0374065087159454,0.9890079365079364,0.0142244054800994,0.2843941327476312,0.0529480604909385,0.9924621749364868,0.008481736324778,2271.8,32.5
gradual_sensor_drift,LSTM Autoencoder,0.1619141286721181,0.0454243281620561,0.9718347540165492,0.0255018348996842,0.2748991630191073,0.0682454897047251,0.9782086858387362,0.0125908327182676,1998.8,29.4
gradual_sensor_drift,One-Class SVM,0.1502775412601075,0.0406347411011775,0.9890079365079364,0.0142244054800994,0.2589491973051571,0.0608573385059953,0.9912388261607912,0.0095165108187126,2271.8,32.5
intermittent_software_hang,Isolation Forest,0.1456551275505785,0.0867455311695796,0.5367068107306896,0.1626733911153265,0.2214728753844744,0.1190688428157144,0.8697961478452498,0.0696305918975728,2268.7,29.4
intermittent_software_hang,LOF,0.1571572586095588,0.0436107014418493,0.9964285714285716,0.0112938487863156,0.2692371778756864,0.0641351271375199,0.9960310668269065,0.0011640529759502,2268.7,29.4
intermittent_software_hang,LSTM Autoencoder,0.1138430782807719,0.0549174066512111,0.6926353888047436,0.1838489098530887,0.1930995145728766,0.0871706381075528,0.889912281015636,0.0532202190998386,1996.3,26.9
intermittent_software_hang,One-Class SVM,0.1416801281058117,0.0474171867161291,0.9964285714285716,0.0112938487863156,0.2452675472627967,0.0717992433344584,0.9960853781645244,0.0018452782112742,2268.7,29.4
motor_stall,Isolation Forest,0.2075930598501587,0.1246190182193816,0.7860845852574527,0.1386213028997831,0.3147295100348925,0.1490229907915463,0.9649272748472524,0.029098513148646,2271.6,32.3
motor_stall,LOF,0.1693041876210746,0.0441855677085584,1.0,0.0,0.2874009486441505,0.0641573141681791,0.9981711361817078,0.0010830123338359,2271.6,32.3
motor_stall,LSTM Autoencoder,0.1662680714102386,0.0695728720763789,0.9870630023334196,0.0170758076499318,0.2793397218615329,0.0962555861987603,0.9864603011300366,0.010671136499173,2000.0,30.6
motor_stall,One-Class SVM,0.1524987715786787,0.0518662721206574,1.0,0.0,0.2615921715818963,0.0753396032539253,0.9967700385165904,0.0005588976341059,2271.6,32.3
