profile,policy,n_training_seeds,mean_agent_return_mean_across_seed_mean,mean_agent_return_mean_across_seed_std,team_return_sum_mean_across_seed_mean,team_return_sum_mean_across_seed_std,mean_assignment_distance_mean_across_seed_mean,mean_assignment_distance_mean_across_seed_std,final_assignment_distance_mean_across_seed_mean,final_assignment_distance_mean_across_seed_std,coordination_success_mean_across_seed_mean,coordination_success_mean_across_seed_std,collision_pairs_per_cycle_mean_across_seed_mean,collision_pairs_per_cycle_mean_across_seed_std,duplicate_nearest_landmarks_per_cycle_mean_across_seed_mean,duplicate_nearest_landmarks_per_cycle_mean_across_seed_std,nearest_landmark_switch_rate_mean_across_seed_mean,nearest_landmark_switch_rate_mean_across_seed_std
standard,ppo,5,-21.15772178683617,4.803464791175336,-63.4731653605085,14.410394373526014,0.6805080923970134,0.1260525342333515,0.6820451497371433,0.22146626826009,0.0,0.0,0.0736,0.0363978021314474,0.7984,0.1323510483524781,0.0261333333333333,0.0065726706900619
standard,random,5,-23.72718606438521,3.3041845682749496,-71.18155819315567,9.912553704824852,0.8575508671163348,0.0429561946737861,0.9189209771635664,0.080685185462424,0.0,0.0,0.0456,0.0188891503249881,0.9224,0.065641450319139,0.0237333333333333,0.0079665969313544
